,name,type,thc,cbd
0,SeattleSoda,Hybrid,0,0
1,Four Cups,Indica,0,0
2,Swiss,Indica,0,0
3,Alpha Omega OG,Sativa,0,0
4,Tahoe Hydro Champagne,Sativa,0,0
5,Blush,Hybrid,0,0
6,Blueberry Space Cake,Indica,0,0
7,Banana Bread,Hybrid,0,0
8,Humboldt Sour Diesel,Sativa,0,0
9,Apricot Jelly,Hybrid,0,0
10,Deep Cheese,Indica,0,0
11,Animal Gas,Indica,0,0
12,Perfect Purple,Hybrid,0,0
13,Lucifer OG,Indica,0,0
14,840,Hybrid,0,0
15,Keystone Kush,Indica,0,0
16,Runtz,Hybrid,0,0
17,999,Hybrid,0,0
18,Pan Jam,Sativa,0,0
19,3 Bears OG,Indica,0,0
20,Orange Snow Cone,Sativa,0,0
21,OG Purple Fire Thai,Hybrid,0,0
22,Eastern European,Hybrid,0,0
23,Agape,Hybrid,0,0
24,Mystery Jazz,Hybrid,0,0
25,North Indian,Indica,0,0
26,Mud Bite,Indica,0,0
27,Jelly Roll,Indica,0,0
28,OCD,Sativa,0,0
29,Blue Wolf,Sativa,0,0
30,Blood Kush,Hybrid,0,0
31,Peachy Mack,Sativa,0,0
32,Gilz Nilz,Hybrid,0,0
33,Mendo Queen,Sativa,0,0
34,White Slipper,Sativa,0,0
35,Greek Kalamata,Sativa,0,0
36,Faded Glory,Sativa,0,0
37,Happy Rancher,Hybrid,0,0
38,Princess,Sativa,0,0
39,GDP Electric,Hybrid,0,0
40,False Teeth,Indica,0,0
41,Cobbler,Sativa,0,0
42,Big Mac,Indica,0,0
43,Blue Sherbert,Hybrid,0,0
44,Alien Breath,Hybrid,0,0
45,Ghetto Bird,Hybrid,0,0
46,Madagascar,Indica,0,0
47,Concord Cream,Indica,0,0
48,Rocky Dennis,Hybrid,0,0
49,Black D.O.G.,Indica,0,0
50,Highlands,Indica,0,0
51,Chocolate Sap,Sativa,0,0
52,Carmel Cough,Sativa,0,0
53,Pineapple Fields,Sativa,0,0
54,Rozé,Hybrid,0,0
55,French Toast,Hybrid,0,0
56,Comfortably Dumb,Indica,0,0
57,Majestic 12,Hybrid,0,0
58,Remedy,Indica,1,16
59,Hammerhead,Indica,1,22
60,Ringo's Gift,Hybrid,1,20
61,Suzy Q,Hybrid,1,25
62,Oracle,Hybrid,1,14
63,GI001,Sativa,1,24
64,Charlotte's Web,Hybrid,1,12
65,Frida,Indica,1,12
66,C3PO,Indica,1,15
67,Valentine X,Hybrid,1,25
68,Mystery 98,Indica,2,18
69,Rafael,Sativa,2,17
70,Tesla,Sativa,3,18
71,Yummy,Indica,3,9
72,Doctor Doctor,Sativa,3,20
73,MediHaze,Sativa,4,9
74,Avi,Hybrid,5,10
75,Hades Haze,Indica,6,6
76,Trident,Hybrid,6,15
77,Euphoria,Indica,6,7
78,Cannatonic,Hybrid,6,17
79,ACDC,Hybrid,6,20
80,Bediol,Sativa,7,8
81,Nebula II CBD,Sativa,7,8
82,CBD OG,Indica,7,10
83,In The Pines,Sativa,7,12
84,Swiss Gold,Indica,7,7
85,Medical 49,Indica,8,8
86,Purple Martian Kush,Indica,8,13
87,Good Medicine,Sativa,8,9
88,Nordle,Hybrid,8,8
89,Master Bubba,Hybrid,8,1
90,Blue Jay Way,Hybrid,8,16
91,CBD Kush,Indica,8,11
92,CBD Dancehall,Sativa,9,15
93,Maui Bubble Gift,Indica,9,11
94,Rubicon,Hybrid,9,9
95,Skunk Haze,Sativa,9,9
96,Aliens on Moonshine,Indica,9,36
97,Frank's Gift,Sativa,9,24
98,Misty Morning,Indica,10,0
99,CBD Shark,Indica,10,10
100,Harlequin,Sativa,10,15
101,Rx,Hybrid,10,12
102,Fast Eddy,Sativa,10,15
103,South Asian,Sativa,10,0
104,Swiss Sativa,Sativa,10,0
105,Harmonia,Indica,10,12
106,Sour Tsunami,Sativa,10,13
107,Aceh,Sativa,10,0
108,African,Sativa,10,0
109,El-Na,Indica,10,0
110,North American Sativa,Sativa,11,0
111,Zen,Hybrid,11,9
112,Astral Works,Hybrid,11,7
113,Canna-Tsu,Hybrid,11,11
114,Star Tonic,Hybrid,11,16
115,Negra 44,Indica,11,0
116,Jenni,Sativa,11,0
117,Sweet and Sour Widow,Indica,11,8
118,Lemon Meringue,Sativa,11,3
119,South Indian Indica,Indica,12,0
120,Sour Chunk,Sativa,12,0
121,Dr. Bubbles,Indica,12,5
122,California Hash Plant,Indica,12,5
123,Magnum PI,Sativa,12,0
124,Hawaii 78,Sativa,12,0
125,Snow Bud,Sativa,12,0
126,Chem Beyond Diesel CBD,Indica,12,15
127,Spirit of 76,Hybrid,12,0
128,Voodoo,Sativa,12,0
129,Stephen Hawking Kush,Indica,12,14
130,Quick One,Indica,13,0
131,BC Sweet Tooth,Indica,13,0
132,Midnight,Sativa,13,13
133,Hogs Breath,Indica,13,0
134,Hash Plant,Indica,13,0
135,Harley Twin,Hybrid,13,0
136,Purple Star,Indica,13,0
137,Palm Tree CBD,Indica,13,13
138,Argyle,Indica,13,0
139,One To One,Hybrid,14,14
140,Lowryder,Sativa,14,0
141,Dance World,Indica,14,14
142,Raindance,Indica,14,0
143,Santa Maria,Sativa,14,0
144,M-39,Hybrid,14,0
145,Pure Love,Indica,14,28
146,Flo,Sativa,14,0
147,Mai Tai Cookies,Sativa,14,12
148,Cherry Cream Pie,Indica,14,0
149,Rose Bud,Indica,14,0
150,Deep Breath,Hybrid,14,0
151,Enemy of the State,Indica,14,0
152,Silver Haze,Hybrid,14,0
153,Northern Skunk,Indica,14,0
154,60 Day Wonder,Indica,14,0
155,Timewarp,Sativa,14,0
156,Hammershark,Indica,14,0
157,Super Sweet,Hybrid,14,0
158,Black Dahlia,Indica,15,0
159,Sexxpot,Indica,15,0
160,Tundra,Indica,15,0
161,CBD Rich Blessing,Sativa,15,6
162,Blue Mountain Fire,Sativa,15,0
163,Ginger Punch,Sativa,15,0
164,White Dwarf,Indica,15,0
165,Kona Gold,Sativa,15,0
166,Quasar,Hybrid,15,0
167,Chocolate Thunder,Sativa,15,0
168,Pineapple Punch,Sativa,15,0
169,Hobbit,Hybrid,15,0
170,Purple Buddha,Hybrid,15,0
171,Big Holy Nina,Sativa,15,0
172,Rob Ford Kush,Indica,15,0
173,Desert Star,Hybrid,15,0
174,Rogue Thunder,Hybrid,15,0
175,Green Cheese,Hybrid,15,0
176,Albert Walker,Indica,15,0
177,Super Sour Skunk,Hybrid,15,0
178,Orange Juice,Indica,15,0
179,Domino,Indica,15,0
180,Rockstar Master Kush,Indica,15,1
181,Chocolate Thai,Sativa,15,0
182,Purple Lightning,Indica,15,0
183,Little Angel,Hybrid,15,0
184,La Blanca,Indica,15,0
185,Golden Soda,Sativa,15,0
186,Taiga,Hybrid,15,0
187,Dark Blue Dream,Hybrid,15,0
188,Moose And Lobsta,Sativa,15,0
189,California Grapefruit,Indica,15,0
190,Magnum,Hybrid,15,0
191,Cali Kush,Indica,15,0
192,Pineapple Super Silver Haze,Sativa,15,1
193,Skywalker,Hybrid,15,0
194,Bandana,Sativa,15,4
195,Pennywise,Indica,15,15
196,California Orange,Hybrid,15,0
197,El Nino,Indica,15,1
198,South Indian,Sativa,15,0
199,Red Dwarf,Indica,15,0
200,Agent Orange,Sativa,15,0
